model_id,sysml_path,txt_path,split,quality,category,likert_score,similarity_percent,structure_score,behavior_score,data_score,token_recall_percent,parse_status,matched_terms,missing_terms
317,data/000317/000317.sysml,data/000317/000317.txt,pilot,A,unknown,2,25.3,37.6,0,35.3,29.3,ok,Quantity Calculations,mRef: ScalarMeasurementReference | Is Zero | Abs | Is Zero | Abs
318,data/000318/000318.sysml,data/000318/000318.txt,pilot,A,unknown,1,0,,,,0,ok,,
319,data/000319/000319.sysml,data/000319/000319.txt,pilot,A,unknown,1,0,0,,,0,ok,,SIPrefixes
320,data/000320/000320.sysml,data/000320/000320.txt,pilot,A,unknown,4,75.2,68.7,85.5,63.2,80.5,ok,Tensor Calculations | Is Zero Tensor Quantity | Is Unit Tensor Quantity | Is Zero Tensor Quantity | Is Unit Tensor Quantity | x: TensorQuantityValue,
321,data/000321/000321.sysml,data/000321/000321.txt,pilot,A,software,4,83.6,92.8,96.2,28.7,91.5,ok,Time | Universal Clock | Time Scale | Duration Of | Clock | Time Scale,val: Iso8601DateTimeEncoding | definitionalEpoch: DefinitionalQuantityValue | o: Occurrence
322,data/000322/000322.sysml,data/000322/000322.txt,pilot,A,unknown,1,0,0,,,0,ok,,Sys ML2 Model
323,data/000323/000323.sysml,data/000323/000323.txt,pilot,A,unknown,3,57.2,57.1,64.2,34.2,64.3,ok,inner | Vector Calculations | Is Unit Vector Quantity | Is Unit Vector Quantity,Scalar Vector Mult | vectorScalarMult | vectorScalarDiv | Scalar Vector Mult | elements: Number ordered
324,data/000324/000324.sysml,data/000324/000324.txt,pilot,A,software,1,0,0,,,0,ok,,Derivation Connections
325,data/000325/000325.sysml,data/000325/000325.txt,pilot,A,unknown,5,95.4,94,,,100,ok,Requirement Derivation,
326,data/000326/000326.sysml,data/000326/000326.txt,pilot,A,software,4,72.4,92.5,63.9,32.5,78.3,ok,Actions | Terminate Action | Accept Action | Merge Action | AssignmentAction | DecisionAction,transitionLinkSource Action TransitionPerformance transitionLinkSource | Transitions | Subactions | Merges | Start
327,data/000327/000327.sysml,data/000327/000327.txt,pilot,A,unknown,5,89.4,86,,,100,ok,Allocations,
328,data/000328/000328.sysml,data/000328/000328.txt,pilot,A,unknown,2,43.2,41,,,50,ok,,
329,data/000329/000329.sysml,data/000329/000329.txt,pilot,A,unknown,5,100,100,,,100,ok,Attributes,
330,data/000330/000330.sysml,data/000330/000330.txt,pilot,A,unknown,5,100,100,,,100,ok,Calculations,
331,data/000331/000331.sysml,data/000331/000331.txt,pilot,A,unknown,5,86.3,100,,,42.9,ok,Cases | Actors,
332,data/000332/000332.sysml,data/000332/000332.txt,pilot,A,unknown,5,100,100,,,100,ok,Connections,
333,data/000333/000333.sysml,data/000333/000333.txt,pilot,A,unknown,5,100,100,,,100,ok,Constraints,
334,data/000334/000334.sysml,data/000334/000334.txt,pilot,A,unknown,5,100,100,,,100,ok,Flows,
335,data/000335/000335.sysml,data/000335/000335.txt,pilot,A,unknown,2,42.2,57.1,,0,50.5,ok,Interfaces,Excluding Once | position: Natural
336,data/000336/000336.sysml,data/000336/000336.txt,pilot,A,unknown,3,53.2,57.1,,41,56.3,ok,Items,Subparts
337,data/000337/000337.sysml,data/000337/000337.txt,pilot,A,unknown,1,0,,,,0,ok,,
338,data/000338/000338.sysml,data/000338/000338.txt,pilot,A,unknown,3,50,55.4,33.3,58.7,55.3,ok,Parts | This | this | this: Part | this: Part,Start | Done | start | done
339,data/000339/000339.sysml,data/000339/000339.txt,pilot,A,unknown,5,100,100,,,100,ok,Ports,
340,data/000340/000340.sysml,data/000340/000340.txt,pilot,A,unknown,5,100,100,,,100,ok,Requirements | Stakeholders | Actors,
341,data/000341/000341.sysml,data/000341/000341.txt,pilot,A,unknown,2,43.2,41,,,50,ok,,
342,data/000342/000342.sysml,data/000342/000342.txt,pilot,A,software,5,100,100,,,100,ok,States,
343,data/000343/000343.sysml,data/000343/000343.txt,pilot,A,unknown,2,24.4,29.1,15.4,,28.8,ok,Sys ML,Feature Kind: Transition Feature Kind | Subaction Kind: State Subaction Kind | TransitionFeatureKind | StateSubactionKind | Subaction Kind | Portion Kind
344,data/000344/000344.sysml,data/000344/000344.txt,pilot,A,unknown,5,100,100,,,100,ok,Use Cases,
345,data/000345/000345.sysml,data/000345/000345.txt,pilot,A,unknown,3,65.7,70.8,74.9,20.5,76.8,ok,Verification Cases | Pass If | Pass If,isPassing: Boolean
346,data/000346/000346.sysml,data/000346/000346.txt,pilot,A,unknown,1,0,,,,0,ok,,
347,data/000347/000347.sysml,data/000347/000347.txt,pilot,A,automotive,4,80.4,85,74.5,73.8,84.6,ok,Vehicle | Experiment | Experiment | Vehicle 1 | Vehicle 1 | cylinders: >> vehicle_1 cylinders,cylinders: ScalarValues Integer | mass: ScalarValues Real
348,data/000348/000348.sysml,data/000348/000348.txt,pilot,A,unknown,1,0,0,,0,0,ok,,Multiplicity Test | i: ScalarValues Integer
349,data/000349/000349.sysml,data/000349/000349.txt,pilot,A,unknown,2,42.3,42.1,39,,47.2,ok,Sound Energy Density Value | SoundIntensityValue | SoundExposureValue | Sound Energy Density Value,Cartesian3d Sound Particle Displacement Vector | Cartesian3d Sound Particle Acceleration Vector | Cartesian3d Sound Particle Velocity Vector | Cartesian3d Sound Particle Displacement Vector | Cartesian3d Sound Particle Acceleration Vector | Cartesian3d Sound Particle Velocity Vector
350,data/000350/000350.sysml,data/000350/000350.txt,pilot,A,energy,2,44.7,46.2,38,,51.2,ok,Charge Number Value | SpinValue,Magnetic Dipole Moment Value | Cartesian3dSpinVector | Magnetic Dipole Moment Value | Cartesian3dMagneticDipoleMomentCoordinateFrame | Cartesian3dMagneticDipoleMomentVector
351,data/000351/000351.sysml,data/000351/000351.txt,pilot,A,unknown,4,78,68.4,86,,83.8,ok,ThermodynamicTemperatureValue | LuminousIntensityValue | ElectricCurrentValue | Duration Value | Length Value | Mass Value,ISQBase
352,data/000352/000352.sysml,data/000352/000352.txt,pilot,A,unknown,3,52.7,53,47.4,,59.6,ok,Reynolds Number Value | Mach Number Value | LiftCoefficientValue | Mach Number Value,BagnoldNumberForSolidParticlesValue
353,data/000353/000353.sysml,data/000353/000353.txt,pilot,A,industrial,4,75,65.3,85.5,,77.7,ok,Molar Volume Value | Molar Mass Value | Molar Volume Value | Molar Mass Value | MolarGibbsEnergyValue | MolarEnthalpyValue,Relative Atomic Mass Value
354,data/000354/000354.sysml,data/000354/000354.txt,pilot,A,electronics,3,48,43.4,49.3,,54.3,ok,,Cartesian3d Angular Reciprocal Lattice Coordinate Frame | Cartesian3dFundamentalReciprocalLatticeCoordinateFrame | Cartesian3d Angular Reciprocal Lattice Coordinate Frame | ShortRangeOrderParameterValue | LongRangeOrderParameterValue
355,data/000355/000355.sysml,data/000355/000355.txt,pilot,A,electronics,3,65.3,50.9,83.2,,66.2,ok,Electric Charge Density Value | Electric Charge Value | Electric Charge Density Value | Electric Charge Unit,Cartesian3dElectricDipoleMomentVector | ElectricDipoleMomentValue | Cartesian3dElectricDipoleMomentCoordinateFrame | ISQElectromagnetism
356,data/000356/000356.sysml,data/000356/000356.txt,pilot,A,software,3,65.7,61.3,67.8,,70.8,ok,Traffic Intensity Value | Traffic Intensity Unit | MeanQueueLengthValue | WaitingProbabilityValue | LossProbabilityValue | CallIntensityValue,ISQInformation
357,data/000357/000357.sysml,data/000357/000357.txt,pilot,A,electronics,2,43.4,41.6,42.7,,47.7,ok,Spectral Radiant Energy Value | Spectral Radiant Energy Value | RadiantFluxValue | SpectralRadiantEnergyDensityInTermsOfWavelengthValue,Speed Of Light In AMedium Value | Speed Of Light In AMedium Unit | ISQLight | Refractive Index Value | Refractive Index Value
358,data/000358/000358.sysml,data/000358/000358.txt,pilot,A,unknown,3,48.9,45.1,50.3,,53.4,ok,Mass Density Value | Mass Density Unit | MomentOfInertiaValue,ISQMechanics | Specific Volume Value | Specific Volume Value
359,data/000359/000359.sysml,data/000359/000359.txt,pilot,A,aerospace,2,38.9,30.4,36,57,42.6,ok,altitudeUnit: LengthUnit | xUnit: LengthUnit,Spatial3d Coordinate Frame | CartesianDisplacement3dVector | CylindricalPosition3dVector | CartesianPosition3dVector | SphericalPosition3dVector | PlanetaryPosition3dVector
360,data/000360/000360.sysml,data/000360/000360.txt,pilot,A,unknown,4,72.9,56.5,94,,72.7,ok,Linear Expansion Coefficient Value | Cubic Expansion Coefficient Value | Celsius Temperature Value | Linear Expansion Coefficient Value | Cubic Expansion Coefficient Value | Celsius Temperature Unit,ISQThermodynamics | IsothermalCompressibilityValue
361,data/000361/000361.sysml,data/000361/000361.txt,pilot,A,unknown,1,0,,,,0,ok,,
362,data/000362/000362.sysml,data/000362/000362.txt,pilot,A,unknown,1,0,0,,,0,ok,,SIPrefixes
363,data/000363/000363.sysml,data/000363/000363.txt,pilot,A,unknown,1,0,0,,,0,ok,,Sys ML2 Model
364,data/000364/000364.sysml,data/000364/000364.txt,pilot,A,unknown,2,40.3,40.6,39.2,,41.3,ok,Sound Energy Density Value | SoundIntensityValue | SoundExposureValue | Sound Energy Density Value,Cartesian Sound Particle Displacement3d Vector | Cartesian Sound Particle Acceleration3d Vector | Cartesian Sound Particle Velocity3d Vector | Cartesian Sound Particle Displacement3d Vector | Cartesian Sound Particle Acceleration3d Vector | Cartesian Sound Particle Velocity3d Vector
365,data/000365/000365.sysml,data/000365/000365.txt,pilot,A,energy,3,63.3,54.2,73.2,,65.9,ok,Magnetic Dipole Moment Value | Rydberg Constant Value | Rydberg Constant Value | Magnetic Dipole Moment Value | SpinValue,CartesianMagneticDipoleMoment3dVector | CartesianMagneticDipoleMoment3dCoordinateFrame | CartesianSpin3dVector
366,data/000366/000366.sysml,data/000366/000366.txt,pilot,A,unknown,4,78,68.4,86,,83.8,ok,ThermodynamicTemperatureValue | LuminousIntensityValue | ElectricCurrentValue | Duration Value | Length Value | Mass Value,ISQBase
367,data/000367/000367.sysml,data/000367/000367.txt,pilot,A,aerospace,3,56.3,51.6,59.1,,60.7,ok,Reynolds Number Value | Froude Number Value | Mach Number Value | Froude Number Value | Mach Number Value,BagnoldNumberForSolidParticlesValue | ThrustCoefficientValue | LiftCoefficientValue
368,data/000368/000368.sysml,data/000368/000368.txt,pilot,A,unknown,5,87.5,80.8,94,,90.6,ok,Molar Internal Energy Value | Relative Atomic Mass Value | Molar Volume Value | Molar Mass Value | Molar Volume Value | Molar Mass Value,
369,data/000369/000369.sysml,data/000369/000369.txt,pilot,A,electronics,2,35.7,31.9,38.4,,38.8,ok,,Cartesian Angular Reciprocal Lattice3d Vector | Cartesian Angular Reciprocal Lattice3d Vector | CartesianFundamentalReciprocalLattice3dVector | Cartesian Lattice3d Vector | Cartesian Angular Reciprocal Lattice3d Coordinate Frame | CartesianFundamentalReciprocalLattice3dCoordinateFrame
370,data/000370/000370.sysml,data/000370/000370.txt,pilot,A,electronics,3,65.3,50.9,83.2,,66.2,ok,Electric Charge Density Value | Electric Charge Value | Electric Charge Density Value | Electric Charge Unit,CartesianElectricDipoleMoment3dVector | ElectricDipoleMomentValue | CartesianElectricDipoleMoment3dCoordinateFrame | ISQElectromagnetism
371,data/000371/000371.sysml,data/000371/000371.txt,pilot,A,software,3,63.4,57.4,67.8,,68.1,ok,Traffic Intensity Value | Traffic Intensity Unit | MeanQueueLengthValue | LossProbabilityValue | CallIntensityValue,ISQInformation
372,data/000372/000372.sysml,data/000372/000372.txt,pilot,A,electronics,2,33.9,32.9,31.6,,38.9,ok,RadiantFluxValue,Speed Of Light In AMedium Value | Speed Of Light In AMedium Unit | ISQLight | Refractive Index Value | Refractive Index Value
373,data/000373/000373.sysml,data/000373/000373.txt,pilot,A,unknown,4,73.7,64.6,82.9,,77,ok,Surface Mass Density Value | Specific Volume Value | Mass Density Value | Specific Volume Value | Mass Density Unit | MomentOfInertiaValue,ISQMechanics
374,data/000374/000374.sysml,data/000374/000374.txt,pilot,A,aerospace,3,48.2,43,41,62.6,54.4,ok,radialDistanceUnit: LengthUnit | altitudeUnit: LengthUnit | xUnit: LengthUnit,Spatial3d Coordinate Frame | inclinationUnit: AngularMeasureUnit | azimuthUnit: AngularMeasureUnit
375,data/000375/000375.sysml,data/000375/000375.txt,pilot,A,energy,4,75.1,60.1,94,,75.8,ok,Linear Expansion Coefficient Value | Cubic Expansion Coefficient Value | Celsius Temperature Value | Linear Expansion Coefficient Value | Cubic Expansion Coefficient Value | Celsius Temperature Unit,ISQThermodynamics
376,data/000376/000376.sysml,data/000376/000376.txt,pilot,A,unknown,1,0,0,,,0,ok,,Sys ML2 Model
377,data/000377/000377.sysml,data/000377/000377.txt,esa,A,aerospace,3,57.1,56.3,54.7,,61.7,ok,Space Systems | Products | FunctionalChain | Systems Of Interest,CloseOutStatusType | ESA Sys ML2 Solution | ExternalSystem
378,data/000378/000378.sysml,data/000378/000378.txt,esa,A,aerospace,2,34.5,32.8,,,40,ok,,ESA Sys ML2 Solution Metadata
379,data/000379/000379.sysml,data/000379/000379.txt,esa,A,aerospace,1,22.7,35.1,0,,31.9,ok,,Functional Scenario Action1 | Done
380,data/000380/000380.sysml,data/000380/000380.txt,esa,A,aerospace,2,40.4,70.9,0,,41.9,ok,Eagle Eye Mission | Space Segment,Mission Spec Layer | Merge | Done | Decision1 | Decision2
381,data/000381/000381.sysml,data/000381/000381.txt,esa,A,aerospace,3,46.7,40.2,55.9,,45.8,ok,Avionics Platform | Space Segment | Payload | Avionics Platform | Payload,Payload Direct Monitoring Port INDef | Payload Direct Monitoring Port INDef | Physical Layer | AOCScommand Port OUTDef | A OCScommand Port OUTDef | A OCScommand Port OUTDef: AOCScommand Port OUTDef
382,data/000382/000382.sysml,data/000382/000382.txt,esa,A,aerospace,1,0,0,,,0,ok,,Requirements Layer
383,data/000383/000383.sysml,data/000383/000383.txt,esa,A,aerospace,1,0,0,,,0,ok,,So I Layer
384,data/000384/000384.sysml,data/000384/000384.txt,esa,A,aerospace,2,42.9,42.9,,,42.9,ok,ESA/ESOC Ground Segment,Transversal Layer
385,data/000385/000385.sysml,data/000385/000385.txt,esa,A,aerospace,2,43.2,41,,,50,ok,,
386,data/000386/000386.sysml,data/000386/000386.txt,esa,A,aerospace,2,36.2,42.8,,13,44.1,ok,Comet Interceptor space system | Probe B1 | Probe B2,RedundancyConceptSchemes | longLeadItem: String | C DFProducts | Propellant | CDFProduct | Platform
387,data/000387/000387.sysml,data/000387/000387.txt,agent,B,industrial,3,55.2,61.6,48,48.9,58,ok,Force Sensor | TaskCommand | SensorData | Plan | Position | visionSensor,trajectory JointAngles | Initialize | Complete | Sense | Done | ControlPort
388,data/000388/000388.sysml,data/000388/000388.txt,agent,B,industrial,3,52.9,57.7,51.4,38.4,56.9,ok,Agricultural Robot System | Vision Sensor | Soil Sensor | Gps Module | Watering System | Battery,sensorId: String | Controller | Harvester | Mobility | Planter | Position
389,data/000389/000389.sysml,data/000389/000389.txt,agent,B,industrial,3,58.7,67.7,46.2,60.4,58.6,ok,Workpiece | controlCircuit | AnalogRobot | Calibrate | Monitor | Grasp,not calibrate.calibrated | Fault Handler | not calibrate.calibrated | not calibrate.calibrated | position: ISQ length | currentPosition ISQ length | supplyCurrent: ISQ electricCurrent
390,data/000390/000390.sysml,data/000390/000390.txt,agent,A,automotive,2,44.5,46.7,39.7,41.6,48.4,ok,Controller | TaskCommand | SensorData | Navigate | BatteryLevel | Return To Charge,executeWork.workStatus == TaskStatus completed | navigate.navStatus == TaskStatus failed | checkBattery.batteryStatus < 20.0 | executeWork.workStatus == TaskStatus completed | navigate.navStatus == TaskStatus failed | executeWork.workStatus == TaskStatus completed | Done
391,data/000391/000391.sysml,data/000391/000391.txt,agent,B,industrial,4,80.5,92.1,71.2,67,82.7,ok,Manipulator | Controller | Actuator | Sensor | BangBangController | RoboticManipulator,operationalRange: PositionValue | workspaceRange: PositionValue | maxPayload: ISQ MassValue | Done | Decision1
392,data/000392/000392.sysml,data/000392/000392.txt,agent,B,industrial,3,61,73.6,49.4,48.7,63.8,ok,Control Module | Sensor Module | End Effector | Emergency Stop | Monitor | Plan,Plan | startPose: Pose | Initialize | Done | c1 | c2 | Position3D
393,data/000393/000393.sysml,data/000393/000393.txt,agent,B,automotive,3,54.6,70,46.5,27.5,58.8,ok,Robotic Delivery System | Rear Camera | Gps | Imu | Obstacle | Package,not deliverCargo.unloadSuccess | not deliverCargo.unloadSuccess | statusCheck.monitorPower.chargingRequired | Abort And Charge | statusCheck.monitorPower.chargingRequired | statusCheck.monitorPower.chargingRequired | voltage: ElectricPotentialValue
394,data/000394/000394.sysml,data/000394/000394.txt,agent,B,automotive,4,75.8,84.8,66.2,65,80.4,ok,Neural Network | Robotic Body | Life Support | Processor | BiologicalNeuralNetwork | SignalProcessingUnit,Sense | ActuatorPort | cmd | newPosition | cmd
395,data/000395/000395.sysml,data/000395/000395.txt,agent,B,industrial,3,65.1,65.5,68.7,51.2,69.4,ok,Drive System | Planner | Battery | Lidar | WorkTask | Orientation,taskProc: TaskProcessor | MotionControlPort | actualVelocity: Velocity2D | Robotic System Model | Position2D | Velocity2D
396,data/000396/000396.sysml,data/000396/000396.txt,agent,B,industrial,3,65.9,71.7,69.6,44.7,67.2,ok,Wrist Joint | Workpiece | Gripper | Joint | Process | Release,currentPosition Position3D | finalPosition Position3D | Assign | Sense | Done | ControlPort
397,data/000397/000397.sysml,data/000397/000397.txt,agent,B,industrial,3,57,65.9,54.2,41.2,57.6,ok,Controller | Sensors | Gripper | Transport | Release | Sense,sensorData SensorReading | target WorkPiece | Approach | Done | Pressure | Voltage
398,data/000398/000398.sysml,data/000398/000398.txt,agent,B,industrial,3,53.2,61.7,45.7,39.6,57.9,ok,Robotic System | Power Management | Perception | Navigation | powerManagement | chargingStation,TaskCommandPort | taskCmd: TaskCommand | executionPlan Position3D | taskCmd TaskCommand | Controller | Initialize System
399,data/000399/000399.sysml,data/000399/000399.txt,agent,B,industrial,4,68,80.7,62.2,44.5,71.2,ok,Navigation | Power | TaskCommand | SensorData | Navigate | Validate,currentPos Position | newPos Position | environmentalData: String | taskID: String | Done | opsToComm
400,data/000400/000400.sysml,data/000400/000400.txt,agent,B,automotive,4,67.4,81.9,60.5,36.4,74,ok,Rear Lidar | Autonomy | Steering | Cargo | Gps | Imu,motionDataOut | imageDataOut | deliveryTarget DeliveryAddress | estimatedDuration TimeValue | depotLocation GPSCoordinate | returnStatus String
401,data/000401/000401.sysml,data/000401/000401.txt,agent,B,electronics,4,67.5,83.7,56.7,38.3,74.8,ok,Operating System | Battery | Sensors | Screen | Modem | Audio,displayFrame: PixelFrame | audioOut: AudioSample | dataPayload: String | PixelFrame | Initialize System | currentDraw: ElectricCurrentValue
402,data/000402/000402.sysml,data/000402/000402.txt,agent,B,automotive,3,55.7,64.1,45.5,47.1,60.5,ok,BatteryStatus | Orientation | Control Loop | Ardu Pilot Flight Control System | Imu Sensor | Gps Sensor,desiredAttitude: Orientation • desiredThrottle: Real | currentOrientation: Orientation | telemetryOutputPort | telemetryInputPort | currentAngularRate AngularRate | estimatedPosition Position3D | estimatedVelocity SpeedValue
403,data/000403/000403.sysml,data/000403/000403.txt,agent,B,industrial,3,57.8,78.3,44.1,33.4,59.4,ok,SoftActuatorSegment | AirCompressor | ForceSensor | motionControl | forceSensor | Articulated Soft Robotics System,moveToApproach.reached | graspPose AngleValue | placePose AngleValue | moveToApproach.reached | Move To Approach | Retry
404,data/000404/000404.sysml,data/000404/000404.txt,agent,B,industrial,4,66.6,81.7,51.2,56.3,68.5,ok,Controller | Payload | Winches | Cables | Cable | Emergency Stop,verifyPosition.positionReached | Complete Move | Compute Tension Distribution | verifyPosition.positionReached | verifyPosition.positionReached | not verifyPosition.positionReached | not verifyPosition.positionReached
405,data/000405/000405.sysml,data/000405/000405.txt,agent,B,aerospace,3,55.1,57.8,58.1,36.3,59.8,ok,Ai Core | Navigation | EnvironmentalData | VoiceCommand | response | Cimon Assistant System,envData: ItemDefinitions EnvironmentalData | envData: ItemDefinitions EnvironmentalData | audioResp ItemDefinitions AudioResponse | navigationCmd: ItemDefinitions NavigationCommand | audioOutput: ItemDefinitions AudioResponse | voiceInput: ItemDefinitions VoiceCommand
406,data/000406/000406.sysml,data/000406/000406.txt,agent,A,automotive,3,58.4,80.3,43.4,34.4,58.9,ok,Photocell | Headlamp | Steering | Battery | Motor | SteeringMechanism,processLight.lightLevel >= 80.0 | Approach Light | targetIntensity: LightIntensity | MotorControlPort | Calculate Motor Response | Control Headlamp State | surroundingLight LightIntensity | targetIntensity LightIntensity
407,data/000407/000407.sysml,data/000407/000407.txt,agent,B,automotive,3,58.5,66.4,58.2,33.2,63.7,ok,Femur | Tibia | Coxa | Orientation | MotorCommand | LegSegment,statusData: NavigationData | jointId: String | Assign | Done | CommunicationPort | Position3D
408,data/000408/000408.sysml,data/000408/000408.txt,agent,B,industrial,3,59.3,79.5,44.4,40.2,59.4,ok,Gripper | ControlProcessor | JugglingBall | PowerSupply | RoboticArm | VisionSystem,catchLeft.success == false | Recover | ArmCommandPort | targetHeight ThrowHeight | expectedBalls BallCount | currentBalls BallCount | accuracy SuccessRate
409,data/000409/000409.sysml,data/000409/000409.txt,agent,B,automotive,3,60.2,78.2,49.5,37.7,60.7,ok,Formation Coordinator | Mission Controller | AutonomousMachine | StatusUpdate | Maintain | Correct,battery > 20.0 | positionError LengthValue | battery > 20.0 | positionError: LengthValue • deviationAngle: Real | Update Pos | Broadcast
410,data/000410/000410.sysml,data/000410/000410.txt,agent,B,industrial,3,65.4,77.2,58.8,40.3,71.7,ok,Processor | Enclosure | Storage | Sensor | ImageSensor | OpticalSystem,mainPowerInput | actualIntensity LuminousIntensityValue | settings CommandSignal | commandInput: CommandSignal | Optics | Initialize System
411,data/000411/000411.sysml,data/000411/000411.txt,agent,B,industrial,3,51.2,77,29.3,28.7,53,ok,Drive Motors | Suspension System | MultiSensorArray | TrackedChassis | Camera | Track,gasLevelExceedsThreshold | Collect Sample | pathTaken LengthValue | targetObject String | sampleData String | gasLevelExceedsThreshold | gasLevelExceedsThreshold
412,data/000412/000412.sysml,data/000412/000412.txt,agent,B,industrial,3,64.4,76.1,53.9,51.2,67.8,ok,Vision Sys | Platform | Battery | Lidar | Arm | ManipulatorArm,velocityCommand SpeedValue | targetObject LengthValue | Processor | Nav Unit | Sense | Done
413,data/000413/000413.sysml,data/000413/000413.txt,agent,B,automotive,3,54.9,67.6,50.7,27.7,58.5,ok,Controller | Speaker | Battery | ProximitySensor | controller | control,senseEnvironment.obstacleDetected | Execute Avoidance | obstacleDirection: Real • minDistance: ISQ LengthValue | bottomLEDs: RGBLEDArray | obstacleDirection: Real • minDistance: ISQ LengthValue | soundFrequency ISQ FrequencyValue | topLEDColor RGBColor | DCMotor
414,data/000414/000414.sysml,data/000414/000414.txt,agent,B,aerospace,3,65.9,81,53.6,47,70,ok,Stabilization | Navigation | Propulsion | Guidance | Power | GuidanceComputer,waypointReached | Advance Waypoint | thrustOutput ThrustVector | current: ISQ ElectricCurrentValue | maxThrust: ISQ ForceValue | Comms | Compute Traj
415,data/000415/000415.sysml,data/000415/000415.txt,agent,B,medical,3,64.7,90.1,46.5,38.3,65.2,ok,Contractile Cells | Ciliated Cells | ChemotaxisSensor | LocomotionModule | BiologicalCell | PayloadCarrier,Check Target Proximity | senseEnvironment.signal.intensity > 0.5 | senseEnvironment.signal.intensity > 0.5 | checkTargetProximity.atTarget | sensedSignal: EnvironmentalSignal | senseEnvironment.signal.intensity > 0.5 | Navigate
416,data/000416/000416.sysml,data/000416/000416.txt,agent,B,medical,3,59.5,69.8,52.1,48.4,60,ok,Battery | Sensor | Pump | Ui | VitalSigns | Medication,battery.currentCharge > battery.capacity * 0.2 | initialStatus String | battery.currentCharge > battery.capacity * 0.2 | Controller | Initialize | Shutdown
417,data/000417/000417.sysml,data/000417/000417.txt,agent,B,medical,3,63.2,79.5,40.5,59.6,67.2,ok,Stimulator | Display | Sensor | AccelerometerSensor | DisplayController | NerveStimulator,Alert Deep Block | AccelerationInputPort | StimulusOutputPort | UserInterfacePort | DataOutputPort | tofResult TOFRatio
418,data/000418/000418.sysml,data/000418/000418.txt,agent,B,medical,3,65.6,81.7,57.2,37.1,70.2,ok,Bridge | AdamsClaspAssembly | BridgeWire | WireArm | RetentiveForce | anchorTooth,residualDeflection WireDeflection | undercutDepth: LengthValue | Done | External | Decision1 | released Boolean
419,data/000419/000419.sysml,data/000419/000419.txt,agent,A,medical,3,64.6,81.6,49.2,49.9,66.7,ok,Stimulation Electrode | Biomarker Extractor | Sensing Electrode | Pulse Generator | Controller | Telemetry,ControlInterfacePort | NeuralOscillationAmplitude | Extract Pathology Biomarker | not assess.isPathological | optimizedThreshold PathologyThreshold | recentBiomarkers BiomarkerLevel
420,data/000420/000420.sysml,data/000420/000420.txt,agent,B,medical,4,70.9,85.7,60.4,47.2,76.5,ok,Alternating Electric Field Therapy System | Control Processor | Field Generator | Power Module | TherapyParameters | SkinTemperature,FieldOutputPort | PowerInputPort | checkSafety.safetyStatus and elapsedTime < 64800.0 | not checkSafety.safetyStatus | checkSafety.safetyStatus and elapsedTime < 64800.0 | not checkSafety.safetyStatus
421,data/000421/000421.sysml,data/000421/000421.txt,agent,B,industrial,3,59.9,79.4,33.4,53.9,65.2,ok,Reservoir | Regulator | Cavity | Bell | AmplificationBell | AmmoniaReservoir,AcousticOutputPort | AmmoniaInputPort | requestedVoltage: ElectricalVoltage | Regulate Flow Action | Generate Tone Action | Amplify Sound Action
422,data/000422/000422.sysml,data/000422/000422.txt,agent,B,medical,3,61.8,73.3,48.4,52,66.3,ok,Safety Monitor | Controller | Enclosure | Wireless | StimulationGenerator | PowerManagement,not receiveCommand.validCommand | Reject Command | receiveCommand.validCommand | validateSafety.safetyOk | cmd ControlSignal | receiveCommand.validCommand | validateSafety.safetyOk
423,data/000423/000423.sysml,data/000423/000423.txt,agent,B,medical,3,52.7,65.6,34.2,51.4,55.5,ok,AngelliftDermalStrip | SiliconeStrip | FacialTissue | angelliftSystem | Patient | mechanicalLift,insertionSite PeriOralRegion | PeriOralRegion | Apply Right Lift | Apply Left Lift | TissueContactPort | Prepare Insertion Site
424,data/000424/000424.sysml,data/000424/000424.txt,agent,B,medical,4,69.4,80.5,49.1,70.4,75.5,ok,Clinical Decision Support | Monitoring Dashboard | Ai Inference | ClinicalDecisionSupportModule | TreatmentRecommendation | RiskAssessment,approvedDecisionOut | Done | Perform AIInference | Decision1 | processedImageOut | feedback String
425,data/000425/000425.sysml,data/000425/000425.txt,agent,B,medical,4,68.5,86.1,54,52.2,69.7,ok,Activation Button | Pressure Sensor | Inflatable Cuff | Fluid Reservoir | Control Module | Release Valve,"PatientInterfacePort | processRequest.systemResponse == ""deflate"" | Deflate Sequence | processRequest.systemResponse == ""inflate"" | Inflate Sequence | processRequest.systemResponse == ""deflate"" | processRequest.systemResponse == ""inflate"" | processRequest.systemResponse == ""deflate"""
426,data/000426/000426.sysml,data/000426/000426.txt,agent,B,medical,3,63.8,82.6,43.2,51.2,67.7,ok,Aspiration Therapy System | Pressure Monitor | User Interface | Reservoir | Catheter | PressureMonitoringSubsystem,ControlSignalPort | verifyReadiness.readyForTherapy | Activate Vacuum | Accumulate Aspirated Material | Evaluate Session Progress | Verify Patient Readiness | previousTotal VolumeValue
427,data/000427/000427.sysml,data/000427/000427.txt,agent,B,medical,3,60.1,63.1,62.1,53.9,57.6,ok,Shell | AuricularSplintDevice | RetentionBand | Customize | Monitor | Assess,MoldingContactPort | MoldingSurfacePort | earMeasurements String | targetEar NeonatalEar | Assign | Done
